Paper Name,Keywords,Domains,Abstract,Publication Date,Author,Keyword Clusters,Paper Cluster
"Decision Support Systems XII: Decision Support Addressing Modern Industry, Business, and Societal Needs. ICDSST 2022-8th International Conference on Decision Support System Technology, Thessaloniki, Greece, from may 23-25, 2022","['decision support systems', 'data analytics', 'operations research', 'group decision making', 'artificial intelligence methods', 'blockchain']",['Engineering sciences [physics]'],"['This book constitutes the proceedings of the 8th International Conference on Decision Support Systems Technologies, ICDSST 2022, held during May 23–25, 2022.\r\n\r\nThe EWG-DSS series of International Conference on Decision Support System Technology (ICDSST) is planned to consolidate the tradition of annual events organized by the EWG-DSS in offering a platform for European and international DSS communities, comprising the academic and industrial sectors, to present state-of-the-art DSS research and developments, to discuss current challenges that surround decision-making processes, to exchange ideas about realistic and innovative solutions, and to co-develop potential business opportunities.\r\n\r\nThe main aim of this year’s conference is to investigate the role DSS and related technologies can play in mitigating the impact of pandemics and post-crisis recovery. The 15 papers presented in this volume were carefully reviewed and selected from 46 submissions. They were organized in topical sections as follows: decision support addressing modern industry; decision support addressing business and societal needs, and multiple criteria approaches.']",2022,['Daouda Kamissoko'],"['Cluster 8', 'Cluster 12', 'Cluster 3', 'Cluster 8', 'Cluster 8', 'Cluster 1']",Cluster 8
Decision Support Systems XIII. Decision Support Systems in An Uncertain World: The Contribution of Digital Twins,"['decision support systems', 'data analytics', 'operations research', 'group decision making', 'digital twins']",['Engineering sciences [physics]'],"['This book constitutes the proceedings of the 9th International Conference on Decision Support Systems Technologies, ICDSST 2023, held during May 30 – June 1, 2023. The EWG-DSS series of International Conference on Decision Support System Technology (ICDSST) is planned to consolidate the tradition of annual events organized by the EWG-DSS in offering a platform for European and international DSS communities, comprising the academic and industrial sectors, to present state-of-the-art DSS research and developments, to discuss current challenges that surround decision-making processes, to exchange ideas about realistic and innovative solutions, and to co-develop potential business opportunities. The main theme of this year was “Decision Support Systems in An Uncertain World: The Contribution of Digital Twins”. The 21 papers presented in this volume were carefully reviewed and selected from 65 submissions. They were organized in topical sections as follows: DSS models, methods, and tools; DSS for business performance and stakeholders; DSS applications for sustainability in health, energy and transportation; and DSS users and successful adoption.']",2023,['Isabelle Linden'],"['Cluster 8', 'Cluster 12', 'Cluster 3', 'Cluster 8', 'Cluster 7']",Cluster 8
RéSoCIO project - Analysis of social networks in emergency situations,"['wisg', 'social networks', 'twitter', 'natural disasters']","['Artificial intelligence [cs.AI]', 'Environmental sciences', 'Human Sciences and Society']",[],2022/01/25,['Aurelie Montarnal'],"['Cluster 1', 'Cluster 12', 'Cluster 12', 'Cluster 15']",Cluster 12
Towards proactive agility of crisis response,"['accident management', 'decision making', 'emergency plans', 'hazards', 'risk assessment']",['IT [cs]'],"['The goal of this poster is to introduce the very first steps of a framework to support decision-making during the crisis response step of the crisis lifecycle. Indeed, crisis situations are unstable phenomena by nature and by the effects of the crisis response itself. So, the crisis response is challenged over time: new objectives, new risks, lack of resources, evolving weather conditions, etc. Reacting once events happened to adapt the response is not sufficient enough to provide the agility required by the decision-makers. Based on the projected effects of the chosen crisis response on a real-time model and several anticipated models of the situation, the proposed framework aims to achieve the last step of the situation awareness approach: the projection of the current situation in the near future. This can enable a proactive on-the-fly agility of the crisis response. The presented idea relies on the main results of the previous research work of two research teams on the agility of the crisis response (Barthe-Delanoë et al. 2018) and the transformation of raw data into a Common Operational Picture (COP) in a context of Big Data (Fertier et al. 2018). The aim is to combine these results to achieve the highest level of situational awareness by supporting proactive agility of the crisis response instead of reactive agility.']",2019/05/19,['A. Fertier'],"['Cluster 15', 'Cluster 8', 'Cluster 15', 'Cluster 4', 'Cluster 6']",Cluster 15
RéSoCIO project: Analysis of social networks in emergency situations,"['social networks', 'twitter', 'crisis management', 'natural disasters']","['Artificial intelligence [cs.AI]', 'Environment and Society', 'Human Sciences and Society']",[],2023/03/21,['Aurelie Montarnal'],"['Cluster 12', 'Cluster 12', 'Cluster 15', 'Cluster 15']",Cluster 12
Optimisation models for the design of multiple self-consumption loops in semi-rural areas,"['optimization and control (math.oc)', 'fos: mathematics']",['IT [cs]'],"['Collective electricity self-consumption gains increasing interest in a context where localised consumption of energy is a lever of sustainable development. While easing energy distribution networks, collective self-consumption requires complementary prosumers' profiles. Before determining the proper energy exchanges happening between these prosumers, one must ensure their compatibility in the context of collective self-consumption. Motivated by real use cases from a solar power producer, this article proposes network flow-based linear models to solve both the design aspect of the problem and the attribution of distribution flows between the involved prosumers. Two main models are proposed, handling (i) single collective self-consumption loop creation and (ii) multiple loop creation. One of the objectives of this work is to provide models that can be applied at a strategic level which implies their extension to large time scale and large spatial scale. To do so, associated Benders and Dantzig-Wolfe decompositions are proposed to ensure model scalability along temporal and spatial dimensions. The proposed models are tested on realistic use cases to assess their performances.']",2024/10/17,['Yohann Chasseray'],"['Cluster 20', 'Cluster 16']",Cluster 20
Dynamic control of Demand Driven Sales and Operations Planning,"['demand driven material requirements planning', 'dynamic settings', 'discrete-event simulation', 'demand driven sales & operations planning']",['Other [cs.OH]'],[],2020/11/10,['Guillaume Martin'],"['Cluster 3', 'Cluster 16', 'Cluster 17', 'Cluster 3']",Cluster 3
Implementation of a knowledge-based approach to estimating maintenance requirements,"['phm', 'modelling', 'expert system', 'eda']",['Other [cs.OH]'],[],2021/10/26,['Alexandre Sarazin'],"['Cluster 1', 'Cluster 17', 'Cluster 8', 'Cluster 1']",Cluster 1
Sliding horizon uncertainty modelling and compilation of solutions to lot sizing problems for tactical planning of a decentralised supply chain,"['decentralised supply chain', 'tactical planning', 'rolling planning', 'instabilité', 'batch sizing problem', 'compiling knowledge']",['Other [cs.OH]'],[],2023/07/07,['Walid Khellaf'],"['Cluster 2', 'Cluster 8', 'Cluster 14', 'Cluster 1', 'Cluster 11', 'Cluster 9']",Cluster 2
Assessing the potential of the physical Internet for city logistics activities in developing countries,"['physical internet', 'city logistics', 'simulation', 'last-mile delivery', 'developing countries', 'cambodia']",['Other [cs.OH]'],[],2023/05/12,['Sam Ban'],"['Cluster 7', 'Cluster 13', 'Cluster 16', 'Cluster 13', 'Cluster 14', 'Cluster 1']",Cluster 13
