,Paper Name,Keywords,Domains,Abstract,Publication Date,Author
0,Démarche outillée d'analyse du déroulement du programme au bloc opératoire : application à la régulation,[],"[""Sciences de l'ingénieur [physics]""]",[],2022/09/01,"['Leah Rifi', 'Franck Fontanili']"
1,"Proceedings of the 23rd international configuration workshop (cws/confws2021), Vienna, Austria, from September 16-17, 2021",[],"[""Sciences de l'ingénieur [physics]""]",[],2021,['Michel Aldanondo']
2,"JFPC 2019 - Actes des 15es Journées Francophones de Programmation par Contraintes, Albi, France, du 12-14 juin 2019",[],"[""Sciences de l'ingénieur [physics]""]","[""Les JFPC (Journées Francophones de Programmation par Contraintes) sont le principal congrès de la communauté francophone travaillant sur les problèmes de satisfaction de contraintes (CSP), le problème de la satisfiabilité d'une formule logique propositionnelle (SAT) et/ou la programmation logique avec contraintes (CLP). La communauté de programmation par contraintes entretient également des liens avec la recherche opérationnelle (RO), l'analyse par intervalles et différents domaines de l'intelligence artificielle.\r\n\r\nL'efficacité des méthodes de résolution et l'extension des modèles permettent à la programmation par contraintes de s'attaquer à des applications nombreuses et variées comme la logistique, l'ordonnancement de tâches, la conception d'emplois du temps, la conception en robotique, l'étude du génôme en bio-informatique, l'optimisation de pratiques agricoles, etc.\r\n\r\nLes JFPC se veulent un lieu convivial de rencontres, de discussions et d'échanges pour la communauté francophone, en particulier entre doctorants, chercheurs confirmés et industriels. L'importance des JFPC est reflétée par la part considérable (environ un tiers) de la communauté francophone dans la recherche mondiale dans ce domaine.\r\n\r\nPatronnées par l'AFPC (Association Française pour la Programmation par Contraintes), les JFPC 2019 ont lieu du 12 au 14 Juin 2019 à l'IMT Mines Albi et sont organisées par Xavier Lorca (président du comité scientifique) et par Élise Vareilles (présidente du comité d'organisation).""]",2019,"['Xavier Lorca', 'Élise Vareilles']"
3,"Decision Support Systems XII: Decision Support Addressing Modern Industry, Business, and Societal Needs. ICDSST 2022-8th International Conference on Decision Support System Technology, Thessaloniki, Greece, from may 23-25, 2022","['decision support systems', 'data analytics', 'operations research', 'group decision making', 'artificial intelligence methods', 'blockchain']","[""Sciences de l'ingénieur [physics]""]","['This book constitutes the proceedings of the 8th International Conference on Decision Support Systems Technologies, ICDSST 2022, held during May 23–25, 2022.\r\n\r\nThe EWG-DSS series of International Conference on Decision Support System Technology (ICDSST) is planned to consolidate the tradition of annual events organized by the EWG-DSS in offering a platform for European and international DSS communities, comprising the academic and industrial sectors, to present state-of-the-art DSS research and developments, to discuss current challenges that surround decision-making processes, to exchange ideas about realistic and innovative solutions, and to co-develop potential business opportunities.\r\n\r\nThe main aim of this year’s conference is to investigate the role DSS and related technologies can play in mitigating the impact of pandemics and post-crisis recovery. The 15 papers presented in this volume were carefully reviewed and selected from 46 submissions. They were organized in topical sections as follows: decision support addressing modern industry; decision support addressing business and societal needs, and multiple criteria approaches.']",2022,['Daouda Kamissoko']
4,"Proceedings of the 26th International Workshop on Configuration (ConfWS 2024) co-located with the 30th International Conference on Principles and Practice of Constraint Programming (CP 2024), Girona, Spain, September 2-3, 2024.",[],['Autre [cs.OH]'],"['The 26th edition of the International Workshop on Configuration (ConfWS 2024) has\r\nbeen co-located with the International Conference on Principles and Practice of Constraint\r\nProgramming (CP 2024 celebrating its 30th anniversary) hosted by the University of Girona\r\nin Spain. ConfWS 2024 has been a vibrant hub for researchers and industry professionals\r\ninterested in configuration technology. In addition, for edition 2024, Siemens supported the\r\nevent confirming its sponsorship.\r\nConfWS 2024 was a two-day event where high-quality research in all configuration-related\r\ntechnical areas has been presented. This edition had a special focus on Green Configuration\r\nwhich is related to EU Green Deal as stated in the EU Agenda 2050 to drive the EU community\r\nto a more sustainable future. Researchers and experts from academia and industry shared\r\ntheir contributions on the potentials of configuration in achieving sustainability goals for a\r\nmore sustainable future. The program includes special sessions on green configuration and\r\nsustainability, including topics such as sustainability and configurator applications, efficient\r\nreasoning, configuration space learning, integration of large language models (LLMs), and\r\nfurther aspects related to problem solving and optimization.\r\nConfWS 2024 has been visited by 24 attendants from academia and industry. There were 14\r\npapers submitted for peer review to ConfWS 2024. 14 papers were selected for publication\r\nin the workshop proceedings after a review by three independent reviewers per paper. In\r\naddition, three keynote speakers were invited from three industrial partners: Patrik Östberg\r\nand Sonja Arce (from Tacton) presented the talk “Inspiring & enabling manufacturers to\r\nshape and build a sustainable future”; Sophie Rogenhofer (from Siemens) presented the talk\r\n“Sustainability at Siemens - Scaling sustainability impact”; and Jean-Guillaume Fages (from\r\nCosling) presented the talk “Automating complex computations with Cosling Configurator”.\r\nConfWS 2024 introduced the role of a “Publicity and Social Media Chair” on the organization\r\ncommittee, a role played by Irene Campo Gay (Technical University of Denmark), who was\r\nin charge of promoting the workshop on social media and managing the official workshop\r\naccounts on LinkedIn and Twitter (X). In line with previous editions, the workshop\r\nparticipants selected the best paper (“Exploiting Large Language Models for the Automated\r\nGeneration of Constraint Satisfaction Problems”) and the best student paper (“Configuration\r\nCopilot: Towards Integrating Large Language Models and Constraints”).\r\nWe want to thank the ConfWS 2024 authors for their high-quality submissions, the program\r\ncommittee members for their high-quality reviews, and the University of Girona and the CP\r\nWorkshop Chair and CP Chairs for their proactive support. Further thanks goes to SIEMENS\r\nfor sponsoring ConfWS 2024, and the keynote speakers for delivering inspiring presentations.\r\nThe following projects by the Spanish Ministry of Science, Innovation and Universities\r\nalso supported the workshop: TASOVA PLUS research network (RED2022-134337-T), IRIS\r\n(PID2021-122812OB-I00), and Data-pl (PID2022-138486OB-I00).']",2024,['Chiara Grosso']
5,Decision Support Systems XIII. Decision Support Systems in An Uncertain World: The Contribution of Digital Twins,"['decision support systems', 'data analytics', 'operations research', 'group decision making', 'digital twins']","[""Sciences de l'ingénieur [physics]""]","['This book constitutes the proceedings of the 9th International Conference on Decision Support Systems Technologies, ICDSST 2023, held during May 30 – June 1, 2023. The EWG-DSS series of International Conference on Decision Support System Technology (ICDSST) is planned to consolidate the tradition of annual events organized by the EWG-DSS in offering a platform for European and international DSS communities, comprising the academic and industrial sectors, to present state-of-the-art DSS research and developments, to discuss current challenges that surround decision-making processes, to exchange ideas about realistic and innovative solutions, and to co-develop potential business opportunities. The main theme of this year was “Decision Support Systems in An Uncertain World: The Contribution of Digital Twins”. The 21 papers presented in this volume were carefully reviewed and selected from 65 submissions. They were organized in topical sections as follows: DSS models, methods, and tools; DSS for business performance and stakeholders; DSS applications for sustainability in health, energy and transportation; and DSS users and successful adoption.']",2023,['Isabelle Linden']
6,"Proceedings of the 21th International Configuration Workshop. ConfWS’19 - 21st Configuration Workshop. Hamburg, Germany, from october 19-20, 2019",[],"[""Sciences de l'ingénieur [physics]""]",[],2019,['Michel Aldanondo']
7,Special Issue on “Decision Support Systems in an uncertain world”,[],"[""Sciences de l'ingénieur [physics]""]","['Decision Support Systems (DSS) are designed to assist policy makers (and others) to tackle increasingly complex issues by navigating the different objectives of multiple and diverse stakeholders, while attempting to make decisions that are robust under different circumstances and do not produce undesirable consequences. There is a growing interest in dealing with uncertainty in real-world decision support and a concrete need to generate knowledge from information, as well as from models relying on that information. Furthermore, theoretical, and technological advances, such as Digital Twins, enable DSSs to better support human decision-making capabilities in the modern digital age. The new business models of this era amplify the demand for a customized and intelligent decision support capable of meeting the needs of modern industry, business, and society.\r\n\r\nThis special issue welcomes articles on methodologies and technologies, as well as application-oriented works addressing decision support challenges.\r\n\r\nThe deadline for submissions is November 30, 2023.\r\n\r\nThis Call for Papers is open to the entire community of academics and practitioners. We encourage authors who will present their work at the EWG-DSS 9th International Conference on Decision Support System Technology (ICDSST2023) (https://icdsst2023.wordpress.com/) to submit their manuscripts.\r\n\r\nPapers will be peer-reviewed according to the editorial policy of the International Transactions in Operational Research (ITOR), published by the International Federation of Operational Research Societies. Contributions should be prepared according to the instructions to authors in the journal homepage. Authors should upload their contributions using the submission site http://mc.manuscriptcentral.com/itor, indicating in their cover letter that the paper is intended for this special issue.\r\n\r\nOther inquiries should be sent directly to Guest Editors: Ana Paula Cabral Seixas Costa (apcabral@cdsid.org.br); Daouda Kamissoko (daouda.kamissoko@mines-albi.fr) and José Maria Moreno-Jiménez (moreno@unizar.es).']",2023,['Daouda Kamissoko']
8,Projet RéSoCIO - Analyse des réseaux sociaux en situation d’urgence,"['WISG', 'réseaux sociaux', 'Twitter', 'catastrophes naturelles']","['Intelligence artificielle [cs.AI]', ""Sciences de l'environnement"", ""Sciences de l'Homme et Société""]",[],2022/01/25,['Aurelie Montarnal']
9,Towards proactive agility of crisis response,"['Accident management', 'Decision making', 'Emergency plans', 'Hazards', 'Risk assessment']",['Informatique [cs]'],"['The goal of this poster is to introduce the very first steps of a framework to support decision-making during the crisis response step of the crisis lifecycle. Indeed, crisis situations are unstable phenomena by nature and by the effects of the crisis response itself. So, the crisis response is challenged over time: new objectives, new risks, lack of resources, evolving weather conditions, etc. Reacting once events happened to adapt the response is not sufficient enough to provide the agility required by the decision-makers. Based on the projected effects of the chosen crisis response on a real-time model and several anticipated models of the situation, the proposed framework aims to achieve the last step of the situation awareness approach: the projection of the current situation in the near future. This can enable a proactive on-the-fly agility of the crisis response. The presented idea relies on the main results of the previous research work of two research teams on the agility of the crisis response (Barthe-Delanoë et al. 2018) and the transformation of raw data into a Common Operational Picture (COP) in a context of Big Data (Fertier et al. 2018). The aim is to combine these results to achieve the highest level of situational awareness by supporting proactive agility of the crisis response instead of reactive agility.']",2019/05/19,['A. Fertier']
